name,schulform,stadt,standorttyp,lat,lon,street,plz,data_2014
Max-Kölges-Schule,Hauptschule,Mülheim an der Ruhr,5,51.436,6.896,Bruchstraße 85,45468,0
Realschule an der Mellinghofer Straße,Realschule,Mülheim an der Ruhr,4,51.442,6.888,Mellinghofer Str. 56,45473,0
Janusz-Korczak-Gesamtschule,Gesamtschule,Castrop-Rauxel,3,51.599,7.33,Waldenburger Str. 130,44581,0
Willy-Brandt-Gesamtschule,Gesamtschule,Castrop-Rauxel,4,51.563,7.311,Bahnhofstraße 160,44575,0
Franz-Hillebrand-Hauptschule,Hauptschule,Castrop-Rauxel,3,51.593,7.348,Uferstraße 36,44581,0
Adalbert-Stifter-Gymnasium,Gymnasium,Castrop-Rauxel,3,51.546,7.31,Leonhardstraße 8,44575,0
Ernst-Barlach-Gymnasium,Gymnasium,Castrop-Rauxel,3,51.56,7.313,Lunastraße 3,44575,0
Fridtjof-Nansen-Realschule,Realschule,Castrop-Rauxel,3,51.583,7.307,Lange Str. 18,44579,0
Johannes-Rau-Realschule,Realschule,Castrop-Rauxel,4,51.552,7.303,Kleine Lönsstraße 60,44575,0
Sekundarschule Süd,Sekundarschule,Castrop-Rauxel,4,51.552,7.303,Kleine Lönsstraße 60,44575,0
Gemeinschaftshauptschule Hachhausen,Hauptschule,Datteln,4,51.652,7.33,Westring 7,45711,0
Comenius-Gymnasium,Gymnasium,Datteln,2,51.649,7.335,Südring 150,45711,0
Realschule Datteln (Wiesenstraße),Realschule,Datteln,3,51.648,7.33,Wiesenstraße 12,45711,0
Gesamtschule Wulfen,Gesamtschule,Dorsten,3,51.727,7.028,Wulfener Markt 2,46286,0
Dietrich-Bonhoeffer-Hauptschule,Hauptschule,Dorsten,3,51.676,6.957,Juliusstraße 1,46284,0
Gymnasium Petrinum,Gymnasium,Dorsten,2,51.665,6.963,Im Werth 17,46282,0
Gymnasium St. Ursula ,Gymnasium,Dorsten,2,51.662,6.967,Ursulastraße 8-12,46282,0
Geschwister-Scholl-Hauptschule,Katholische Hauptschule,Dorsten,2,51.652,6.955,Nonnenkamp 22,46282,0
Erich-Klausener-Realschule,Realschule,Dorsten,2,51.676,6.957,Juliusstraße 1,46284,0
Gerhart-Hauptmann-Realschule (geschlossen),Realschule,Dorsten,3,51.678,6.974,Bismarckstraße 106,46284,0
Montessori Reformschule,Realschule,Dorsten,2,51.721,7.018,Kleiner Ring 2,46286,0
Realschule St. Ursula,Realschule,Dorsten,2,51.653,6.956,Nonnenkamp 14,46282,0
Ingeborg-Drewitz-Gesamtschule,Gesamtschule,Gladbeck,5,51.583,6.961,Fritz-Erler-Straße 4,45966,0
Erich-Fried-Hauptschule,Hauptschule,Gladbeck,5,51.544,7.014,Kortenkamp 19-21,45968,0
Heisenberg-Gymnasium,Gymnasium,Gladbeck,3,51.577,6.98,Konrad-Adenauer-Allee 1,45964,0
Ratsgymnasium,Gymnasium,Gladbeck,3,51.576,6.987,Mittelstraße 50,45964,0
Riesener Gymnasium,Gymnasium,Gladbeck,3,51.571,6.987,Schützenstraße 23,45964,0
Anne-Frank-Realschule,Realschule,Gladbeck,4,51.569,6.983,Kortestraße 13,45964,0
Erich-Kästner-Realschule,Realschule,Gladbeck,4,51.544,7.013,Kortenkamp 11,45968,0
Werner-von-Siemens-Realschule,Realschule,Gladbeck,4,51.571,6.983,Kortestraße 10,45964,0
Joseph-Hennewig-Schule,Hauptschule,Haltern,1,51.742,7.181,Holtwicker Str. 27,45721,0
Joseph-König-Gymnasium,Gymnasium,Haltern,1,51.739,7.183,Holtwicker Str. 3,45721,0
Alexander-Lebenstein-Realschule,Realschule,Haltern,1,51.739,7.182,Holtwicker Str. 5,45721,0
Rosa-Parks-Schule,Gesamtschule,Herten,5,51.609,7.138,Fritz-Erler-Straße 2,45701,0
Martin-Luther-Schule,Hauptschule,Herten,4,51.609,7.089,Martin-Luther-Straße 3,45701,0
Theodor-Heuss-Schule,Hauptschule,Herten,5,51.609,7.089,Martin-Luther-Straße 3,45701,0
Gymnasium Gartenstraße,Gymnasium,Herten,3,51.596,7.139,Gartenstraße 40,45699,0
Erich-Klausener-Schule,Realschule,Herten,3,51.6,7.129,Ebbelicher Weg 19,45699,0
Städtische Realschule,Realschule,Herten,4,51.601,7.125,Paschenbergstraße 91,45699,0
Willy-Brandt-Schule,Realschule,Herten,4,51.6,7.133,45699 Herten,Germany,0
Martin-Luther-Schule,Sekundarschule,Herten,4,51.609,7.089,Martin-Luther-Straße 3,45701,0
Martin-Luther-King-Schule,Gesamtschule,Marl,5,51.664,7.146,Georg-Herwegh-Straße 67,45772,0
Willy-Brandt-Gesamtschule,Gesamtschule,Marl,4,51.649,7.098,Willy-Brandt-Allee 1,45770,0
Hermann-Claudius-Schule (seit Juli 2016 geschlossen),Hauptschule,Marl,5,51.681,7.139,Merkelheider Weg 196,45772,0
Albert-Schweitzer/Geschwister Scholl-Gymnasium,Gymnasium,Marl,3,51.662,7.098,Max-Planck-Straße 23,45768,0
Gymnasium Im Loekamp,Gymnasium,Marl,2,51.661,7.128,Loekampstraße 80,45770,0
Katholische Hauptschule an der Wiesenstraße,Katholische Hauptschule,Marl,3,51.689,7.125,Merkelheider Weg 21,45772,0
Ernst-Immel-Realschule,Realschule,Marl,4,51.662,7.137,Droste-Hülshoff-Straße 36,45772,0
Günther-Eckerland-Realschule,Realschule,Marl,4,51.689,7.125,Merkelheider Weg 21,45772,0
Paul-Gerhardt-Hauptschule,Hauptschule,Oer-Erkenschwick,4,51.638,7.255,Lortzingstraße 1,45739,0
Willy-Brandt-Gymnasium,Gymnasium,Oer-Erkenschwick,3,51.638,7.256,Christoph-Stöver-Straße 4,45739,0
Christoph-Stöver-Schule,Realschule,Oer-Erkenschwick,3,51.639,7.258,Christoph-Stöver-Straße 2,45739,0
Käthe-Kollwitz-Gesamtschule,Gesamtschule,Recklinghausen,5,51.59,7.522,Dammwiese 8,44532,0
Gesamtschule Suderwich,Gesamtschule,Recklinghausen,4,51.606,7.278,Markomannenstraße 16,45665,0
Wolfgang-Borchert-Gesamtschule,Gesamtschule,Recklinghausen,4,51.624,7.189,Beisinger Weg 80,45657,0
Hauptschule an der Wasserbank,Hauptschule,Recklinghausen,4,51.584,7.225,Wasserbank 20,45663,0
Paulus-Canisius-Hauptschule,Hauptschule,Recklinghausen,5,51.622,7.225,Canisiusstraße 6,45665,0
Freiherr-vom-Stein-Gymnasium,Gymnasium,Recklinghausen,3,51.616,7.182,Westerholter Weg 113,45657,0
Hittorf-Gymnasium,Gymnasium,Recklinghausen,4,51.609,7.191,Kemnastraße 38,45657,0
Marie-Curie-Gymnasium,Gymnasium,Recklinghausen,3,51.619,7.201,Görresstraße 5,45657,0
Gymnasium Petrinum,Gymnasium,Recklinghausen,3,51.665,6.963,Im Werth 17,46282,0
Theodor-Heuss-Gymnasium,Gymnasium,Recklinghausen,4,51.572,7.21,Theodor-Körner-Straße 25,45661,0
Bernard Overberg Realschule,Realschule,Recklinghausen,4,51.579,7.232,Overbergstraße 99,45663,0
Dietrich-Bonhoeffer-Schule,Realschule,Recklinghausen,4,51.615,7.208,Hunsrückstraße 15,45665,0
Maristenschule,Realschule,Recklinghausen,3,51.611,7.187,Hertener Str. 60,45657,0
Otto-Burrmeister-Realschule,Realschule,Recklinghausen,4,51.594,7.213,Maybachstraße 70,45659,0
Gesamtschule Waltrop (Brockenscheidter Straße),Gesamtschule,Waltrop,4,51.611,7.404,Brockenscheidter Str. 100,45731,0
Theodor-Heuss-Gymnasium,Gymnasium,Waltrop,2,51.62,7.399,Theodor-Heuss-Straße 1,45731,0
Städtische Realschule (Ziegeleistraße),Realschule,Waltrop,2,51.627,7.393,Ziegeleistraße 31,45731,0
Gesamtschule Berger Feld,Gesamtschule,Gelsenkirchen,5,51.557,7.072,Adenauerallee 110,45891,0
Gesamtschule Buer-Mitte,Gesamtschule,Gelsenkirchen,4,51.578,7.044,Nollenpad 29,45894,0
Gesamtschule Erle,Gesamtschule,Gelsenkirchen,5,51.559,7.099,Mühlbachstraße 3,45891,0
Evangelische Gesamtschule,Gesamtschule,Gelsenkirchen,5,51.53,7.1,Laarstraße 41,45889,0
Gesamtschule Horst,Gesamtschule,Gelsenkirchen,5,51.535,7.023,Devensstraße 15,45899,0
Gesamtschule Ückendorf,Gesamtschule,Gelsenkirchen,5,51.494,7.114,Bochumer Straße 190,45886,0
Hauptschule Am Dahlbusch,Hauptschule,Gelsenkirchen,5,51.492,7.091,Am Dahlbusch 98,45884,0
Hauptschule an der Emmastraße,Hauptschule,Gelsenkirchen,5,51.519,7.106,Emmastr. 12-16,45888,0
Hauptschule Eppmannsweg,Hauptschule,Gelsenkirchen,5,51.609,7.057,Eppmannsweg 34,45896,0
Hauptschule Frankampstraße,Hauptschule,Gelsenkirchen,5,51.56,7.094,Frankampstraße 111,45891,0
Hauptschule an der Grillostraße,Hauptschule,Gelsenkirchen,5,51.518,7.082,Grillostraße 111,45881,0
Hauptschule an der Schwalbenstraße,Hauptschule,Gelsenkirchen,5,51.554,7.039,Schwalbenstraße 22,45899,0
Carl-Friedrich-Gauß-Gymnasium,Gymnasium,Gelsenkirchen,4,51.515,7.111,Hammerschmidtstraße 13,45888,0
Grillo-Gymnasium,Gymnasium,Gelsenkirchen,5,51.513,7.1,Hauptstraße 60,45879,0
Leibniz-Gymnasium,Gymnasium,Gelsenkirchen,3,51.576,7.055,Breddestraße 21,45894,0
Max-Planck-Gymnasium,Gymnasium,Gelsenkirchen,3,51.58,7.066,Goldbergstraße 91,45894,0
Ricarda-Huch-Gymnasium,Gymnasium,Gelsenkirchen,5,51.513,7.105,Schultestraße 50,45888,0
Schalker Gymnasium,Gymnasium,Gelsenkirchen,5,51.518,7.099,Liboriusstraße 103,45881,0
Annette-von-Droste-Hülshoff-Gymnasium,Gymnasium,Gelsenkirchen,3,51.583,7.065,Goldbergstraße 93,45894,0
Realschule an der St. Michael-Straße,Realschule,Gelsenkirchen,4,51.602,7.057,Sankt-Michael-Straße 1,45896,0
Gerhart-Hauptmann-Realschule,Realschule,Gelsenkirchen,4,51.559,7.099,Mühlbachstraße 3,45891,0
Gertrud-Bäumer-Realschule,Realschule,Gelsenkirchen,5,51.507,7.094,Rotthauser Str. 2,45879,0
