id,name,city,council,date,value,lat,lon,kind,area
59110363,Dahlhausen92_03,Bochum,Arnsberg,2015-06-17,5.3,51.4175,7.1514,GW-Messstelle,"bebaut, besiedelt"
100140920,BN 1     BASTAUNIED,Minden,Detmold,2015-06-24,5.3,52.2886,8.8518,GW-Messstelle,Acker
10407200,Dropestollen,Kall,Köln,2015-10-13,5.3,50.4688,6.4981,Sickerstollen,Wald
73736806,WBV BECHEN EB V,Kürten,Köln,2015-04-09,5.3,51.0511,7.2188,Vertikalfilterbrunnen (Bohrbrunnen),Grünland
10410089,Singelsbendenquelle,Blankenheim,Köln,2015-11-17,5.2,50.4504,6.6274,Sammelschacht,Grünland
86454328,E Chorbusch Br.1,Dormagen,Düsseldorf,2015-10-27,5.0,51.0523,6.8037,Vertikalfilterbrunnen (Bohrbrunnen),Wald
73738517,RGW ZD 505,Köln,Köln,2015-01-20,5.0,50.8351,7.0951,GW-Messstelle,"bebaut, besiedelt"
26502896,QU Langeland,Bad Driburg,Detmold,2015-06-09,5.0,51.7781,8.9833,gefasste Quelle,Wald
106506547,OBERS BR OBERSCHHGN,Detmold,Detmold,2015-05-05,5.0,51.9241,8.9688,Vertikalfilterbrunnen (Bohrbrunnen),Acker
59621199,Homert SGV alt,Lüdenscheid,Arnsberg,2015-10-06,5.0,51.1775,7.6456,Vertikalfilterbrunnen (Bohrbrunnen),Wald
32032225,UWB-Ddorf 01290,Düsseldorf,Düsseldorf,2015-08-28,5.0,51.2714,6.7366,GW-Messstelle,Grünland
106501987,BERL1 QU BERLEBECK,Detmold,Detmold,2015-05-18,5.0,51.8925,8.8766,gefasste Quelle,"bebaut, besiedelt"
129700083,Im Grund,Bad Laasphe,Arnsberg,2015-03-31,5.0,50.967,8.3092,gefasste Quelle,Wald
60091101,HS 84,Oer-Erkenschwick,Münster,2015-11-05,4.9,51.6548,7.2008,GW-Messstelle,Acker
219606614,Flossd. 10,,,2015-07-08,4.9,50.9498,6.3071,GW-Messstelle,Wald
94150450,Quelle Am Saukopf,Warstein,Arnsberg,2015-09-04,4.8,51.4585,8.2246,ungefasste Quelle,Wald
10409920,Lorenzsiefen-Quelle,Hellenthal,Köln,2015-04-16,4.8,50.4598,6.4113,ungefasste Quelle,Grünland
80301290,DICKERHEIDE     277,Willich,Düsseldorf,2015-12-03,4.8,51.2481,6.5651,GW-Messstelle,Acker
26541269,"252-13,0m ML    W18",Schloß Holte-Stukenbrock,Detmold,2015-08-11,4.7,51.9203,8.6476,GW-Messstelle,Wald
23007114,W18 11A Furlbach,Schloß Holte-Stukenbrock,Detmold,2015-09-15,4.7,51.9197,8.6448,Vertikalfilterbrunnen (Bohrbrunnen),Wald
26541233,"252- 4,5m ML    W18",Schloß Holte-Stukenbrock,Detmold,2015-08-11,4.7,51.9203,8.6476,GW-Messstelle,Wald
10421403,Mariaschacht P4,Stolberg (Rhld.),Köln,2015-08-26,4.7,50.7417,6.251,GW-Messstelle,Wald
59620262,VOSSECKE,Neuenrade,Arnsberg,2015-04-08,4.7,51.2756,7.7403,Vertikalfilterbrunnen (Bohrbrunnen),Wald
110200238,TE/23 - RECKE -,Recke,Münster,2015-04-01,4.7,52.3752,7.7035,GW-Messstelle,Grünland
26540228,"607- 3,0m ML",Versmold,Detmold,2015-07-21,4.6,52.014,8.1316,GW-Messstelle,"bebaut, besiedelt"
100744412,LEA 1 BR EHR_ARMKMP,Lage,Detmold,2015-05-06,4.6,51.9798,8.7995,Vertikalfilterbrunnen (Bohrbrunnen),"bebaut, besiedelt"
100135602,PH 34N   JOESSEN,Petershagen,Detmold,2015-04-09,4.6,52.3975,8.9985,GW-Messstelle,Acker
94170356,Quelle Hude,Hallenberg,Arnsberg,2015-09-24,4.5,51.1442,8.6045,gefasste Quelle,Wald
30302857,Hild-Auf dem Sand,Hilden,Düsseldorf,2016-01-19,4.4,51.1746,6.9159,GW-Messstelle,"bebaut, besiedelt"
129700058,Zinse,Erndtebrück,Arnsberg,2015-04-28,4.3,51.0174,8.1987,gefasste Quelle,Wald
23061870,575.1  - 98/2   W 1,Bielefeld,Detmold,2015-05-20,4.3,51.9474,8.5962,GW-Messstelle,"bebaut, besiedelt"
59160184,THYSSEN GE BR 7/II,Herne,Arnsberg,2015-06-09,4.3,51.5078,7.1413,GW-Messstelle,Sonstiges
10408782,WENAU BR. 3 Rohw.,Langerwehe,Köln,2015-05-04,4.2,50.7938,6.3407,Vertikalfilterbrunnen (Bohrbrunnen),Grünland
10409609,Schalkseifenquelle,Blankenheim,Köln,2015-11-17,4.1,50.4534,6.7437,ungefasste Quelle,Grünland
11050020,Burg Veynau Zus 347,Euskirchen,Köln,2016-01-27,4.1,50.64,6.7207,Schachtbrunnen,Wald
59540643,Hasenkehr,Breckerfeld,Arnsberg,2015-03-23,4.0,51.2841,7.4392,Vertikalfilterbrunnen (Bohrbrunnen),Wald
100702533,MP 11B BR PORTASTRS,Minden,Detmold,2015-10-08,4.0,52.2778,8.912,Vertikalfilterbrunnen (Bohrbrunnen),"bebaut, besiedelt"
23163239,TB Habichtssee,Paderborn,Detmold,2015-09-24,4.0,51.7633,8.7307,GW-Messstelle,Wald
21000268,622.2M Avenwedde,Gütersloh,Detmold,2015-10-28,4.0,51.9257,8.4626,GW-Messstelle,"bebaut, besiedelt"
10409671,Großquelle,Roetgen,Köln,2015-11-24,4.0,50.6961,6.2422,gefasste Quelle,Wald
106502578,SPRA2 BR SPRADOW,Kirchlengern,Detmold,2015-04-14,4.0,52.2226,8.6333,Sickerleitung,Acker
99580202,TB Olsberger Hütte,Olsberg,Arnsberg,2015-06-11,3.9,51.3546,8.4979,Vertikalfilterbrunnen (Bohrbrunnen),Wald
26525057,622.3 T Avenwedde,Gütersloh,Detmold,2015-10-28,3.9,51.9257,8.4626,GW-Messstelle,"bebaut, besiedelt"
110040181,IV/18-FLUGH.MS-OS.N,Greven,Münster,2015-12-02,3.9,52.1377,7.68,GW-Messstelle,"bebaut, besiedelt"
129700022,Gräbener,Netphen,Arnsberg,2015-05-04,3.8,50.8635,8.2064,gefasste Quelle,Wald
